"p"	"odds"	"expected"	"counts"	"description"
"hsa00591"	1	0	2.03027782398935	0	"Linoleic acid metabolism - Homo sapiens (human)"
"hsa00592"	1	0	1.72949592413908	0	"alpha-Linolenic acid metabolism - Homo sapiens (human)"
"hsa00600"	1	0	2.93262352354018	0	"Sphingolipid metabolism - Homo sapiens (human)"
"hsa00601"	1	0	1.80469139910165	0	"Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)"
"hsa00603"	1	0	0.977541174513392	0	"Glycosphingolipid biosynthesis - globo series - Homo sapiens (human)"
"hsa00604"	1	0	1.05273664947596	0	"Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)"
"hsa00620"	1	0	2.85742804857761	0	"Pyruvate metabolism - Homo sapiens (human)"
"hsa00630"	1	0	1.80469139910165	0	"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"
"hsa00640"	1	0	2.03027782398935	0	"Propanoate metabolism - Homo sapiens (human)"
"hsa00650"	1	0	1.95508234902678	0	"Butanoate metabolism - Homo sapiens (human)"
"hsa00670"	1	0	1.35351854932624	0	"One carbon pool by folate - Homo sapiens (human)"
"hsa00730"	1	0	0.300781899850274	0	"Thiamine metabolism - Homo sapiens (human)"
"hsa00740"	1	0	0.751954749625686	0	"Riboflavin metabolism - Homo sapiens (human)"
"hsa00750"	1	0	0.451172849775412	0	"Vitamin B6 metabolism - Homo sapiens (human)"
"hsa00760"	1	0	2.03027782398935	0	"Nicotinate and nicotinamide metabolism - Homo sapiens (human)"
"hsa00770"	1	0	1.12793212443853	0	"Pantothenate and CoA biosynthesis - Homo sapiens (human)"
"hsa00780"	1	0	0.225586424887706	0	"Biotin metabolism - Homo sapiens (human)"
"hsa00785"	1	0	0.150390949925137	0	"Lipoic acid metabolism - Homo sapiens (human)"
"hsa00790"	1	0	0.902345699550823	0	"Folate biosynthesis - Homo sapiens (human)"
"hsa00830"	1	0	4.06055564797871	0	"Retinol metabolism - Homo sapiens (human)"
"hsa00860"	1	0	2.6318416236899	0	"Porphyrin and chlorophyll metabolism - Homo sapiens (human)"
"hsa00900"	1	0	1.57910497421394	0	"Terpenoid backbone biosynthesis - Homo sapiens (human)"
"hsa00910"	1	0	0.902345699550823	0	"Nitrogen metabolism - Homo sapiens (human)"
"hsa00970"	1	0	3.08301447346531	0	"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"
"hsa00982"	1	0	4.58692397271669	0	"Drug metabolism - cytochrome P450 - Homo sapiens (human)"
"hsa01040"	1	0	1.4287140242888	0	"Biosynthesis of unsaturated fatty acids - Homo sapiens (human)"
"hsa01100"	1	0.245912593134602	82.2638496090501	25	"Metabolic pathways - Homo sapiens (human)"
"hsa01200"	1	0	7.44435202129429	0	"Carbon metabolism - Homo sapiens (human)"
"hsa01210"	1	0	1.2031275994011	0	"2-Oxocarboxylic acid metabolism - Homo sapiens (human)"
"hsa01212"	1	0	3.30860089835302	0	"Fatty acid metabolism - Homo sapiens (human)"
"hsa01220"	1	0	0.225586424887706	0	"Degradation of aromatic compounds - Homo sapiens (human)"
"hsa01230"	1	0	5.2636832473798	0	"Biosynthesis of amino acids - Homo sapiens (human)"
"hsa03030"	1	0	2.48145067376476	0	"DNA replication - Homo sapiens (human)"
"hsa03410"	1	0	2.25586424887706	0	"Base excision repair - Homo sapiens (human)"
"hsa03420"	1	0	3.15820994842788	0	"Nucleotide excision repair - Homo sapiens (human)"
"hsa03430"	1	0	1.57910497421394	0	"Mismatch repair - Homo sapiens (human)"
"hsa03440"	1	0	1.80469139910165	0	"Homologous recombination - Homo sapiens (human)"
"hsa03450"	1	0	0.827150224588255	0	"Non-homologous end-joining - Homo sapiens (human)"
"hsa04122"	1	0	0.52636832473798	0	"Sulfur relay system - Homo sapiens (human)"
"hsa04140"	1	0	2.6318416236899	0	"Regulation of autophagy - Homo sapiens (human)"
"hsa04142"	1	0	8.49708867077026	0	"Lysosome - Homo sapiens (human)"
"hsa04512"	1	0	6.2412244218932	0	"ECM-receptor interaction - Homo sapiens (human)"
"hsa04610"	1	0	5.0380968224921	0	"Complement and coagulation cascades - Homo sapiens (human)"
"hsa04622"	1	0	4.81251039760439	0	"RIG-I-like receptor signaling pathway - Homo sapiens (human)"
"hsa04950"	1	0	1.65430044917651	0	"Maturity onset diabetes of the young - Homo sapiens (human)"
"hsa04964"	1	0	1.57910497421394	0	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"
"hsa04966"	1	0	1.87988687406422	0	"Collecting duct acid secretion - Homo sapiens (human)"
"hsa04975"	1	0	2.85742804857761	0	"Fat digestion and absorption - Homo sapiens (human)"
"hsa04977"	1	0	1.2031275994011	0	"Vitamin digestion and absorption - Homo sapiens (human)"
"hsa04978"	1	0	3.08301447346531	0	"Mineral absorption - Homo sapiens (human)"
"hsa05340"	1	0	2.4062551988022	0	"Primary immunodeficiency - Homo sapiens (human)"
